category,design,metric,value
amplifier,Alfio_RAFFC_Pin_3,dcgain,110.3773
amplifier,Alfio_RAFFC_Pin_3,gain_bandwidth_product,3641431.3615571233
amplifier,Alfio_RAFFC_Pin_3,phase_in_deg,82.9186
amplifier,Alfio_RAFFC_Pin_3,pm_true,82.9187666303612
amplifier,Alfio_RAFFC_Pin_3,ph_xover,82.91876663036123
amplifier,Alfio_RAFFC_Pin_3,power,0.000281056
amplifier,Alfio_RAFFC_Pin_3,cmrrdc,-85.50244
amplifier,Alfio_RAFFC_Pin_3,dcpsrp,-79.73557
amplifier,Alfio_RAFFC_Pin_3,dcpsrn,-86.5409
amplifier,Alfio_RAFFC_Pin_3,vos25,-0.000237395
amplifier,Alfio_RAFFC_Pin_3,tc,0.0092257
amplifier,Alfio_RAFFC_Pin_3,sr_rise,0.68767
amplifier,Alfio_RAFFC_Pin_3,sr_fall,1.30301
amplifier,Fan_SMC_Pin_3,dcgain,112.689
amplifier,Fan_SMC_Pin_3,gain_bandwidth_product,506284.5526470565
amplifier,Fan_SMC_Pin_3,phase_in_deg,55.6782
amplifier,Fan_SMC_Pin_3,pm_true,55.67833896136855
amplifier,Fan_SMC_Pin_3,ph_xover,55.67833896136855
amplifier,Fan_SMC_Pin_3,power,8.92821e-06
amplifier,Fan_SMC_Pin_3,cmrrdc,-35.45274
amplifier,Fan_SMC_Pin_3,dcpsrp,-35.02319
amplifier,Fan_SMC_Pin_3,dcpsrn,-61.32651
amplifier,Fan_SMC_Pin_3,vos25,0.00108278
amplifier,Fan_SMC_Pin_3,tc,0.00737649
amplifier,Fan_SMC_Pin_3,sr_rise,0.0380974
amplifier,Fan_SMC_Pin_3,sr_fall,0.0564667
amplifier,HoiLee_AFFC_Pin_3,dcgain,97.27396
amplifier,HoiLee_AFFC_Pin_3,gain_bandwidth_product,597868.2827902801
amplifier,HoiLee_AFFC_Pin_3,phase_in_deg,54.3589
amplifier,HoiLee_AFFC_Pin_3,pm_true,54.35898684111095
amplifier,HoiLee_AFFC_Pin_3,ph_xover,54.35898684111095
amplifier,HoiLee_AFFC_Pin_3,power,6.32221e-06
amplifier,HoiLee_AFFC_Pin_3,cmrrdc,-40.10179
amplifier,HoiLee_AFFC_Pin_3,dcpsrp,-40.26844
amplifier,HoiLee_AFFC_Pin_3,dcpsrn,-75.13805
amplifier,HoiLee_AFFC_Pin_3,vos25,0.00157473
amplifier,HoiLee_AFFC_Pin_3,tc,0.000603565
amplifier,HoiLee_AFFC_Pin_3,sr_rise,0.893487
amplifier,HoiLee_AFFC_Pin_3,sr_fall,0.0330462
amplifier,Leung_DFCFC1_Pin_3,dcgain,98.83155
amplifier,Leung_DFCFC1_Pin_3,gain_bandwidth_product,539582.3880577664
amplifier,Leung_DFCFC1_Pin_3,phase_in_deg,64.5571
amplifier,Leung_DFCFC1_Pin_3,pm_true,64.55723013624475
amplifier,Leung_DFCFC1_Pin_3,ph_xover,64.55723013624475
amplifier,Leung_DFCFC1_Pin_3,power,5.20437e-05
amplifier,Leung_DFCFC1_Pin_3,cmrrdc,-72.88304
amplifier,Leung_DFCFC1_Pin_3,dcpsrp,-64.52718
amplifier,Leung_DFCFC1_Pin_3,dcpsrn,-68.44255
amplifier,Leung_DFCFC1_Pin_3,vos25,0.000782643
amplifier,Leung_DFCFC1_Pin_3,tc,0.00464125
amplifier,Leung_DFCFC1_Pin_3,sr_rise,0.113248
amplifier,Leung_DFCFC1_Pin_3,sr_fall,0.107603
amplifier,Leung_DFCFC2_Pin_3,dcgain,116.2435
amplifier,Leung_DFCFC2_Pin_3,gain_bandwidth_product,3516720.03347814
amplifier,Leung_DFCFC2_Pin_3,phase_in_deg,55.3976
amplifier,Leung_DFCFC2_Pin_3,pm_true,55.39768216683595
amplifier,Leung_DFCFC2_Pin_3,ph_xover,55.39768216683595
amplifier,Leung_DFCFC2_Pin_3,power,6.82045e-05
amplifier,Leung_DFCFC2_Pin_3,cmrrdc,-36.30496
amplifier,Leung_DFCFC2_Pin_3,dcpsrp,-35.01429
amplifier,Leung_DFCFC2_Pin_3,dcpsrn,-52.20643
amplifier,Leung_DFCFC2_Pin_3,vos25,0.00173336
amplifier,Leung_DFCFC2_Pin_3,tc,0.00658593
amplifier,Leung_DFCFC2_Pin_3,sr_rise,0.263765
amplifier,Leung_DFCFC2_Pin_3,sr_fall,1.01761
amplifier,Leung_NMCF_Pin_3,dcgain,113.6162
amplifier,Leung_NMCF_Pin_3,gain_bandwidth_product,542718.4397183222
amplifier,Leung_NMCF_Pin_3,phase_in_deg,62.8427
amplifier,Leung_NMCF_Pin_3,pm_true,62.842808885518565
amplifier,Leung_NMCF_Pin_3,ph_xover,62.842808885518565
amplifier,Leung_NMCF_Pin_3,power,2.89028e-05
amplifier,Leung_NMCF_Pin_3,cmrrdc,-48.9618
amplifier,Leung_NMCF_Pin_3,dcpsrp,-48.9188
amplifier,Leung_NMCF_Pin_3,dcpsrn,-94.22729
amplifier,Leung_NMCF_Pin_3,vos25,0.00031716
amplifier,Leung_NMCF_Pin_3,tc,0.00647099
amplifier,Leung_NMCF_Pin_3,sr_rise,0.0622163
amplifier,Leung_NMCF_Pin_3,sr_fall,0.0708772
amplifier,Leung_NMCNR_Pin_3,dcgain,126.9644
amplifier,Leung_NMCNR_Pin_3,gain_bandwidth_product,421189.33362888324
amplifier,Leung_NMCNR_Pin_3,phase_in_deg,163.422
amplifier,Leung_NMCNR_Pin_3,pm_true,163.42269440482832
amplifier,Leung_NMCNR_Pin_3,ph_xover,163.42269440482835
amplifier,Leung_NMCNR_Pin_3,power,1.18463e-05
amplifier,Leung_NMCNR_Pin_3,cmrrdc,-79.17557
amplifier,Leung_NMCNR_Pin_3,dcpsrp,-81.40256
amplifier,Leung_NMCNR_Pin_3,dcpsrn,-92.2373
amplifier,Leung_NMCNR_Pin_3,vos25,0.000117683
amplifier,Leung_NMCNR_Pin_3,tc,0.0125528
amplifier,Leung_NMCNR_Pin_3,sr_rise,0.0145529
amplifier,Leung_NMCNR_Pin_3,sr_fall,0.0140837
amplifier,Peng_ACBC_Pin_3,dcgain,104.7232
amplifier,Peng_ACBC_Pin_3,gain_bandwidth_product,513244.59691762924
amplifier,Peng_ACBC_Pin_3,phase_in_deg,67.653
amplifier,Peng_ACBC_Pin_3,pm_true,67.65318254370806
amplifier,Peng_ACBC_Pin_3,ph_xover,67.65318254370806
amplifier,Peng_ACBC_Pin_3,power,2.5333e-06
amplifier,Peng_ACBC_Pin_3,cmrrdc,-38.64022
amplifier,Peng_ACBC_Pin_3,dcpsrp,-38.37527
amplifier,Peng_ACBC_Pin_3,dcpsrn,-65.93149
amplifier,Peng_ACBC_Pin_3,vos25,0.00126426
amplifier,Peng_ACBC_Pin_3,tc,0.0070866
amplifier,Peng_ACBC_Pin_3,sr_rise,0.0479065
amplifier,Peng_ACBC_Pin_3,sr_fall,0.016501
amplifier,Peng_IAC_Pin_3,dcgain,106.0155
amplifier,Peng_IAC_Pin_3,gain_bandwidth_product,855718.0290586557
amplifier,Peng_IAC_Pin_3,phase_in_deg,55.036
amplifier,Peng_IAC_Pin_3,pm_true,55.03613517237669
amplifier,Peng_IAC_Pin_3,ph_xover,55.0361351723767
amplifier,Peng_IAC_Pin_3,power,0.000140921
amplifier,Peng_IAC_Pin_3,cmrrdc,-36.0172
amplifier,Peng_IAC_Pin_3,dcpsrp,-35.0352
amplifier,Peng_IAC_Pin_3,dcpsrn,-54.43262
amplifier,Peng_IAC_Pin_3,vos25,0.00207478
amplifier,Peng_IAC_Pin_3,tc,0.0101005
amplifier,Peng_IAC_Pin_3,sr_rise,0.0774071
amplifier,Peng_IAC_Pin_3,sr_fall,0.118536
amplifier,Peng_TCFC_Pin_3,dcgain,121.9314
amplifier,Peng_TCFC_Pin_3,gain_bandwidth_product,499965.8437106694
amplifier,Peng_TCFC_Pin_3,phase_in_deg,55.2344
amplifier,Peng_TCFC_Pin_3,pm_true,55.23448253057754
amplifier,Peng_TCFC_Pin_3,ph_xover,55.23448253057754
amplifier,Peng_TCFC_Pin_3,power,6.00782e-06
amplifier,Peng_TCFC_Pin_3,cmrrdc,-58.90352
amplifier,Peng_TCFC_Pin_3,dcpsrp,-58.1886
amplifier,Peng_TCFC_Pin_3,dcpsrn,-80.40333
amplifier,Peng_TCFC_Pin_3,vos25,-0.000720085
amplifier,Peng_TCFC_Pin_3,tc,0.00724451
amplifier,Peng_TCFC_Pin_3,sr_rise,0.0375269
amplifier,Peng_TCFC_Pin_3,sr_fall,0.136213
amplifier,Qu2017_AZC_Pin_3,dcgain,127.181
amplifier,Qu2017_AZC_Pin_3,gain_bandwidth_product,5146753.077200697
amplifier,Qu2017_AZC_Pin_3,phase_in_deg,99.2917
amplifier,Qu2017_AZC_Pin_3,pm_true,99.29197129713744
amplifier,Qu2017_AZC_Pin_3,ph_xover,99.29197129713742
amplifier,Qu2017_AZC_Pin_3,power,9.97162e-05
amplifier,Qu2017_AZC_Pin_3,cmrrdc,-38.01625
amplifier,Qu2017_AZC_Pin_3,dcpsrp,-35.97954
amplifier,Qu2017_AZC_Pin_3,dcpsrn,-50.17513
