category,design,metric,value
amplifier,Fan_SMC_Pin_3,dcgain,112.689
amplifier,Fan_SMC_Pin_3,gain_bandwidth_product,506284.5526470565
amplifier,Fan_SMC_Pin_3,phase_in_deg,55.6782
amplifier,Fan_SMC_Pin_3,pm_true,55.67833896136855
amplifier,Fan_SMC_Pin_3,ph_xover,55.67833896136855
amplifier,Fan_SMC_Pin_3,power,8.92821e-06
amplifier,Fan_SMC_Pin_3,cmrrdc,-35.45274
amplifier,Fan_SMC_Pin_3,dcpsrp,-35.02319
amplifier,Fan_SMC_Pin_3,dcpsrn,-61.32651
amplifier,Fan_SMC_Pin_3,vos25,0.00108278
amplifier,Fan_SMC_Pin_3,tc,0.00737649
amplifier,Fan_SMC_Pin_3,sr_rise,0.0380974
amplifier,Fan_SMC_Pin_3,sr_fall,0.0564667
amplifier,Leung_NMCNR_Pin_3,dcgain,126.9644
amplifier,Leung_NMCNR_Pin_3,gain_bandwidth_product,421189.33362888324
amplifier,Leung_NMCNR_Pin_3,phase_in_deg,163.422
amplifier,Leung_NMCNR_Pin_3,pm_true,163.42269440482832
amplifier,Leung_NMCNR_Pin_3,ph_xover,163.42269440482835
amplifier,Leung_NMCNR_Pin_3,power,1.18463e-05
amplifier,Leung_NMCNR_Pin_3,cmrrdc,-79.17557
amplifier,Leung_NMCNR_Pin_3,dcpsrp,-81.40256
amplifier,Leung_NMCNR_Pin_3,dcpsrn,-92.2373
amplifier,Leung_NMCNR_Pin_3,vos25,0.000117683
amplifier,Leung_NMCNR_Pin_3,tc,0.0125528
amplifier,Leung_NMCNR_Pin_3,sr_rise,0.0145529
amplifier,Leung_NMCNR_Pin_3,sr_fall,0.0140837
amplifier,Peng_IAC_Pin_3,dcgain,106.0155
amplifier,Peng_IAC_Pin_3,gain_bandwidth_product,855718.0290586557
amplifier,Peng_IAC_Pin_3,phase_in_deg,55.036
amplifier,Peng_IAC_Pin_3,pm_true,55.03613517237669
amplifier,Peng_IAC_Pin_3,ph_xover,55.0361351723767
amplifier,Peng_IAC_Pin_3,power,0.000140921
amplifier,Peng_IAC_Pin_3,cmrrdc,-36.0172
amplifier,Peng_IAC_Pin_3,dcpsrp,-35.0352
amplifier,Peng_IAC_Pin_3,dcpsrn,-54.43262
amplifier,Peng_IAC_Pin_3,vos25,0.00207478
amplifier,Peng_IAC_Pin_3,tc,0.0101005
amplifier,Peng_IAC_Pin_3,sr_rise,0.0774071
amplifier,Peng_IAC_Pin_3,sr_fall,0.118536
amplifier,Qu2017_AZC_Pin_3,dcgain,127.181
amplifier,Qu2017_AZC_Pin_3,gain_bandwidth_product,5146753.077200697
amplifier,Qu2017_AZC_Pin_3,phase_in_deg,99.2917
amplifier,Qu2017_AZC_Pin_3,pm_true,99.29197129713744
amplifier,Qu2017_AZC_Pin_3,ph_xover,99.29197129713742
amplifier,Qu2017_AZC_Pin_3,power,9.97162e-05
amplifier,Qu2017_AZC_Pin_3,cmrrdc,-38.01625
amplifier,Qu2017_AZC_Pin_3,dcpsrp,-35.97954
amplifier,Qu2017_AZC_Pin_3,dcpsrn,-50.17513
amplifier,Qu2017_AZC_Pin_3,vos25,0.000838243
amplifier,Qu2017_AZC_Pin_3,tc,0.00754238
amplifier,Qu2017_AZC_Pin_3,sr_rise,0.243819
amplifier,Qu2017_AZC_Pin_3,sr_fall,1.65471
amplifier,Song_DACFC_Pin_3,dcgain,111.7608
amplifier,Song_DACFC_Pin_3,gain_bandwidth_product,632582.406938269
amplifier,Song_DACFC_Pin_3,phase_in_deg,55.8286
amplifier,Song_DACFC_Pin_3,pm_true,55.82868511139874
amplifier,Song_DACFC_Pin_3,ph_xover,55.82868511139873
amplifier,Song_DACFC_Pin_3,power,2.18109e-05
amplifier,Song_DACFC_Pin_3,cmrrdc,-74.74701
amplifier,Song_DACFC_Pin_3,dcpsrp,-54.62774
amplifier,Song_DACFC_Pin_3,dcpsrn,-55.53933
amplifier,Song_DACFC_Pin_3,vos25,-0.00184703
amplifier,Song_DACFC_Pin_3,tc,6.713719687664255e-06
amplifier,Song_DACFC_Pin_3,sr_rise,0.0608782
amplifier,Song_DACFC_Pin_3,sr_fall,0.320148
charge_pump,chargepump,up_iavg,9.114851e-06
charge_pump,chargepump,lo_iavg,9.111359e-06
charge_pump,chargepump,up_imin,4.600755e-06
charge_pump,chargepump,up_imax,1.170533e-05
charge_pump,chargepump,lo_imin,8.094136e-06
charge_pump,chargepump,lo_imax,1.123102e-05
ldo,ldo_1,vout_max,0.6205229
ldo,ldo_1,vout_min,0.6210199
ldo,ldo_1,lnrmax,0.0022097
ldo,ldo_1,lnrmin,0.00281758
ldo,ldo_1,lr,0.0158784
ldo,ldo_1,power_max,0.0440088
ldo,ldo_1,power_min,0.0040088
ldo,ldo_1,dcgain_max,63.30136
ldo,ldo_1,gbw_max,174251.96537489994
ldo,ldo_1,pm_max,94.2986
ldo,ldo_1,pm_true_max,94.29877399843089
ldo,ldo_1,dcgain_min,78.14134
ldo,ldo_1,gbw_min,171939.03458784436
ldo,ldo_1,pm_min,61.0249
ldo,ldo_1,pm_true_min,61.02507712914489
ldo,ldo_1,psrr_max,-62.83663
ldo,ldo_1,psrr_min,-52.61386
ldo,ldo_1,undershoot,0.166637
ldo,ldo_1,overshoot,0.0102744
ldo,ldo_2,vout_max,0.5578783
ldo,ldo_2,vout_min,0.5578927
ldo,ldo_2,lnrmax,0.0140014
ldo,ldo_2,lnrmin,0.014003
ldo,ldo_2,lr,0.000518027
ldo,ldo_2,power_max,0.0442106
ldo,ldo_2,power_min,0.00421
ldo,ldo_2,dcgain_max,60.78119
ldo,ldo_2,gbw_max,21434886.13541638
ldo,ldo_2,pm_max,165.498
ldo,ldo_2,pm_true_max,165.49797208874222
ldo,ldo_2,dcgain_min,60.78117
ldo,ldo_2,gbw_min,15021445.631096093
ldo,ldo_2,pm_min,171.347
ldo,ldo_2,pm_true_min,171.34732843667143
ldo,ldo_2,psrr_max,-43.92197
ldo,ldo_2,psrr_min,-43.91946
ldo,ldo_2,undershoot,0.0276064
ldo,ldo_2,overshoot,0.0831529
sensing_front_end,front_end_25_6T_schematic,vout25,0.1183872
sensing_front_end,front_end_25_6T_schematic,lsb_25_75c,0.00035466
sensing_front_end,front_end_25_6T_schematic,ppval,0.0505177
sensing_front_end,front_end_25_6T_schematic,vout0,0.1099632
sensing_front_end,front_end_25_6T_schematic,vout100,0.1456386
sensing_front_end,front_end_25_6T_schematic,mono_violations,0.0
sensing_front_end,front_end_25_6T_schematic,min_slope_25_75c,0.0002020579999999772
sensing_front_end,front_end_25_6T_schematic,max_step_frac_25_75c,0.012142966825487447
sensing_front_end,front_end_25_6T_schematic,dc_fallback_points,1.0
sensing_front_end,ptat_1,vout25,0.1145761
sensing_front_end,ptat_1,lsb_25_75c,0.000335672
sensing_front_end,ptat_1,ppval,0.04823057
sensing_front_end,ptat_1,vout0,0.10645
sensing_front_end,ptat_1,vout100,0.1404124
sensing_front_end,ptat_1,mono_violations,0.0
sensing_front_end,ptat_1,min_slope_25_75c,0.00032619400000000187
sensing_front_end,ptat_1,max_step_frac_25_75c,0.01042274775974404
sensing_front_end,ptat_1,dc_fallback_points,0.0
sensing_front_end,ptat_4,vout25,0.1156903
sensing_front_end,ptat_4,lsb_25_75c,0.000393458
sensing_front_end,ptat_4,ppval,0.04698644
sensing_front_end,ptat_4,vout0,0.1075475
sensing_front_end,ptat_4,vout100,0.1455967
sensing_front_end,ptat_4,mono_violations,0.0
sensing_front_end,ptat_4,min_slope_25_75c,0.00036368200000000406
sensing_front_end,ptat_4,max_step_frac_25_75c,0.010540183649570656
sensing_front_end,ptat_4,dc_fallback_points,0.0
voltage_reference,dual_output_subthreshold_vref,vref1_at25,0.1235586
voltage_reference,dual_output_subthreshold_vref,vref1_tc,163.336
voltage_reference,dual_output_subthreshold_vref,vref2_at25,0.3425168
voltage_reference,dual_output_subthreshold_vref,vref2_tc,111.447
