category,design,metric,value
amplifier,Fan_SMC_Pin_3,dcgain,108.8965
amplifier,Fan_SMC_Pin_3,gain_bandwidth_product,3865581.005615445
amplifier,Fan_SMC_Pin_3,phase_in_deg,55.0004
amplifier,Fan_SMC_Pin_3,pm_true,55.00051842042886
amplifier,Fan_SMC_Pin_3,ph_xover,55.000518420428875
amplifier,Fan_SMC_Pin_3,power,3.38633e-05
amplifier,Fan_SMC_Pin_3,cmrrdc,-36.8608
amplifier,Fan_SMC_Pin_3,dcpsrp,-35.00538
amplifier,Fan_SMC_Pin_3,dcpsrn,-53.98499
amplifier,Fan_SMC_Pin_3,vos25,0.000470124
amplifier,Fan_SMC_Pin_3,tc,0.00893385
amplifier,Fan_SMC_Pin_3,sr_rise,0.253199
amplifier,Fan_SMC_Pin_3,sr_fall,1.01057
amplifier,Leung_NMCNR_Pin_3,dcgain,89.18137
amplifier,Leung_NMCNR_Pin_3,gain_bandwidth_product,412993.85876730754
amplifier,Leung_NMCNR_Pin_3,phase_in_deg,56.9386
amplifier,Leung_NMCNR_Pin_3,pm_true,56.938777954938075
amplifier,Leung_NMCNR_Pin_3,ph_xover,56.938777954938075
amplifier,Leung_NMCNR_Pin_3,power,1.1158e-05
amplifier,Leung_NMCNR_Pin_3,cmrrdc,-35.98865
amplifier,Leung_NMCNR_Pin_3,dcpsrp,-34.52088
amplifier,Leung_NMCNR_Pin_3,dcpsrn,-50.58531
amplifier,Leung_NMCNR_Pin_3,vos25,0.000302077
amplifier,Leung_NMCNR_Pin_3,tc,0.00767395
amplifier,Leung_NMCNR_Pin_3,sr_rise,0.0158794
amplifier,Leung_NMCNR_Pin_3,sr_fall,0.0470311
amplifier,Peng_IAC_Pin_3,dcgain,106.6488
amplifier,Peng_IAC_Pin_3,gain_bandwidth_product,547733.8505577664
amplifier,Peng_IAC_Pin_3,phase_in_deg,78.1361
amplifier,Peng_IAC_Pin_3,pm_true,78.1362552735459
amplifier,Peng_IAC_Pin_3,ph_xover,78.13625527354588
amplifier,Peng_IAC_Pin_3,power,1.46005e-05
amplifier,Peng_IAC_Pin_3,cmrrdc,-51.01958
amplifier,Peng_IAC_Pin_3,dcpsrp,-50.21618
amplifier,Peng_IAC_Pin_3,dcpsrn,-71.14789
amplifier,Peng_IAC_Pin_3,vos25,0.000121534
amplifier,Peng_IAC_Pin_3,tc,0.00929075
amplifier,Peng_IAC_Pin_3,sr_rise,0.0675126
amplifier,Peng_IAC_Pin_3,sr_fall,0.156159
amplifier,Qu2017_AZC_Pin_3,dcgain,105.5515
amplifier,Qu2017_AZC_Pin_3,gain_bandwidth_product,1209320.9381192052
amplifier,Qu2017_AZC_Pin_3,phase_in_deg,110.182
amplifier,Qu2017_AZC_Pin_3,pm_true,110.18244972370275
amplifier,Qu2017_AZC_Pin_3,ph_xover,110.18244972370275
amplifier,Qu2017_AZC_Pin_3,power,1.52984e-05
amplifier,Qu2017_AZC_Pin_3,cmrrdc,-43.96353
amplifier,Qu2017_AZC_Pin_3,dcpsrp,-50.0872
amplifier,Qu2017_AZC_Pin_3,dcpsrn,-49.88627
amplifier,Qu2017_AZC_Pin_3,vos25,-0.000338623
amplifier,Qu2017_AZC_Pin_3,tc,0.0131962
amplifier,Qu2017_AZC_Pin_3,sr_rise,0.0178455
amplifier,Qu2017_AZC_Pin_3,sr_fall,0.107808
amplifier,Song_DACFC_Pin_3,dcgain,98.5835
amplifier,Song_DACFC_Pin_3,gain_bandwidth_product,560585.1564239217
amplifier,Song_DACFC_Pin_3,phase_in_deg,69.7834
amplifier,Song_DACFC_Pin_3,pm_true,69.78358460234797
amplifier,Song_DACFC_Pin_3,ph_xover,69.78358460234796
amplifier,Song_DACFC_Pin_3,power,1.69223e-05
amplifier,Song_DACFC_Pin_3,cmrrdc,-52.67068
amplifier,Song_DACFC_Pin_3,dcpsrp,-34.3833
amplifier,Song_DACFC_Pin_3,dcpsrn,-35.51732
amplifier,Song_DACFC_Pin_3,vos25,-0.00245729
amplifier,Song_DACFC_Pin_3,tc,5.265896317912154e-06
amplifier,Song_DACFC_Pin_3,sr_rise,0.0401309
amplifier,Song_DACFC_Pin_3,sr_fall,0.226762
charge_pump,chargepump,up_iavg,8.622834e-06
charge_pump,chargepump,lo_iavg,8.622697e-06
charge_pump,chargepump,up_imin,-4.0306e-06
charge_pump,chargepump,up_imax,9.01513e-06
charge_pump,chargepump,lo_imin,8.244633e-06
charge_pump,chargepump,lo_imax,9.481667e-06
ldo,ldo_1,vout_max,0.4768738
ldo,ldo_1,vout_min,0.4772065
ldo,ldo_1,lnrmax,0.0676881
ldo,ldo_1,lnrmin,0.109712
ldo,ldo_1,lr,0.0137973
ldo,ldo_1,power_max,0.0357611
ldo,ldo_1,power_min,0.0032612
ldo,ldo_1,dcgain_max,74.12218
ldo,ldo_1,gbw_max,10464748.319596404
ldo,ldo_1,pm_max,64.5607
ldo,ldo_1,pm_true_max,64.56082698785225
ldo,ldo_1,dcgain_min,87.13245
ldo,ldo_1,gbw_min,1952418.8596973787
ldo,ldo_1,pm_min,58.4992
ldo,ldo_1,pm_true_min,58.499297151349424
ldo,ldo_1,psrr_max,-25.34432
ldo,ldo_1,psrr_min,-24.22949
ldo,ldo_1,undershoot,0.0511179
ldo,ldo_1,overshoot,0.0134889
ldo,ldo_2,vout_max,0.45373
ldo,ldo_2,vout_min,0.45384
ldo,ldo_2,lnrmax,0.0583941
ldo,ldo_2,lnrmin,0.0583422
ldo,ldo_2,lr,0.00484873
ldo,ldo_2,power_max,0.0358343
ldo,ldo_2,power_min,0.00333395
ldo,ldo_2,dcgain_max,59.17473
ldo,ldo_2,gbw_max,16090267.636207383
ldo,ldo_2,pm_max,169.528
ldo,ldo_2,pm_true_max,169.52857112802894
ldo,ldo_2,dcgain_min,59.15393
ldo,ldo_2,gbw_min,11879110.670512399
ldo,ldo_2,pm_min,174.234
ldo,ldo_2,pm_true_min,174.2343124921038
ldo,ldo_2,psrr_max,-38.11994
ldo,ldo_2,psrr_min,-38.13562
ldo,ldo_2,undershoot,0.100994
ldo,ldo_2,overshoot,0.0119279
sensing_front_end,front_end_25_6T_schematic,vout25,0.1077376
sensing_front_end,front_end_25_6T_schematic,lsb_25_75c,0.000438903
sensing_front_end,front_end_25_6T_schematic,ppval,0.06176361
sensing_front_end,front_end_25_6T_schematic,vout0,0.09719346
sensing_front_end,front_end_25_6T_schematic,vout100,0.1411836
sensing_front_end,front_end_25_6T_schematic,mono_violations,0.0
sensing_front_end,front_end_25_6T_schematic,min_slope_25_75c,0.00016767800000000443
sensing_front_end,front_end_25_6T_schematic,max_step_frac_25_75c,0.013260917074940922
sensing_front_end,front_end_25_6T_schematic,dc_fallback_points,0.0
sensing_front_end,ptat_1,vout25,0.06194343
sensing_front_end,ptat_1,lsb_25_75c,0.00128768
sensing_front_end,ptat_1,ppval,0.3962104
sensing_front_end,ptat_1,vout0,0.05534525
sensing_front_end,ptat_1,vout100,0.2597993
sensing_front_end,ptat_1,mono_violations,0.0
sensing_front_end,ptat_1,min_slope_25_75c,0.0002741009999999988
sensing_front_end,ptat_1,max_step_frac_25_75c,0.029960757214306716
sensing_front_end,ptat_1,dc_fallback_points,0.0
sensing_front_end,ptat_4,vout25,0.1553437
sensing_front_end,ptat_4,lsb_25_75c,0.00168067
sensing_front_end,ptat_4,ppval,0.4460028
sensing_front_end,ptat_4,vout0,0.1401263
sensing_front_end,ptat_4,vout100,0.4259411
sensing_front_end,ptat_4,mono_violations,0.0
sensing_front_end,ptat_4,min_slope_25_75c,0.0006094500000000114
sensing_front_end,ptat_4,max_step_frac_25_75c,0.029614620668750483
sensing_front_end,ptat_4,dc_fallback_points,0.0
voltage_reference,dual_output_subthreshold_vref,vref1_at25,0.2506898
voltage_reference,dual_output_subthreshold_vref,vref1_tc,334.772
voltage_reference,dual_output_subthreshold_vref,vref2_at25,0.4943363
voltage_reference,dual_output_subthreshold_vref,vref2_tc,322.595
